id,title,genres,release_date,runtime,score
9359,Maverick,Action Adventure Comedy Drama Western,1994-05-20,127.0,6.568883559908807
36593,The Naked Gun 33⅓: The Final Insult,Comedy Crime,1994-03-18,83.0,6.416941458907518
2788,Reality Bites,Drama,1994-02-18,99.0,6.4875715115903665
11011,Ri¢hie Ri¢h,Comedy Family,1994-12-19,95.0,5.6931302285677905
8987,The River Wild,Action Adventure Crime Thriller,1994-09-30,111.0,6.259824368825466
1637,Speed,Action Adventure Crime,1994-06-09,116.0,6.7735432188149565
8831,Timecop,Thriller Science Fiction Action Crime,1994-09-15,99.0,5.847710522189118
36955,True Lies,Action Thriller,1994-07-14,141.0,6.759764494561421
10395,Wolf,Fantasy,1994-06-17,125.0,6.198882713755182
12160,Wyatt Earp,Drama Action Western,1994-06-24,191.0,6.488358991572245
11667,Street Fighter,Action Adventure Thriller,1994-12-22,102.0,4.875049620287193
2654,In the Mouth of Madness,Horror Mystery Thriller,1994-12-12,95.0,6.885383969894486
2758,Addams Family Values,Comedy Family Fantasy,1993-11-19,94.0,6.4939373227270085
10436,The Age of Innocence,Drama Romance,1993-09-17,139.0,6.746308174520255
13595,Airheads,Comedy Crime Music,1994-08-05,92.0,6.0821317118867135
306,Beverly Hills Cop III,Action Comedy Crime,1994-05-24,104.0,5.757478204860702
1607,A Bronx Tale,Drama Crime,1993-09-14,121.0,7.155806118518492
6075,Carlito's Way,Action Crime Drama Thriller,1993-11-10,144.0,7.496657320145828
9350,Cliffhanger,Action Adventure Thriller,1993-05-28,112.0,6.178650413079901
9612,Coneheads,Comedy Science Fiction Family,1993-07-23,88.0,5.490139984383311
11566,Dave,Comedy,1993-05-07,110.0,6.376094010796505
9571,Dazed and Confused,Comedy Drama,1993-09-24,102.0,7.201837318102573
9739,Demolition Man,Crime Action Science Fiction,1993-10-08,115.0,6.409995173124555
37233,The Firm,Drama Mystery Thriller,1993-06-30,154.0,6.569946974651893
1634,Free Willy,Family Adventure,1993-07-16,112.0,6.128649089882384
5503,The Fugitive,Adventure Action Thriller Crime Mystery,1993-08-06,130.0,7.116981652814803
2019,Hard Target,Action Adventure Crime Thriller,1993-08-20,97.0,6.250565022520717
9255,Hot Shots! Part Deux,Action Comedy War,1993-05-21,86.0,6.270263746293298
11934,The Hudsucker Proxy,Comedy Drama,1994-03-11,111.0,6.872214349865283
9386,In the Line of Fire,Action Drama Thriller Crime Mystery,1993-07-08,128.0,6.705388249892617
7984,In the Name of the Father,Drama,1993-12-12,133.0,7.2554002178598935
329,Jurassic Park,Adventure Science Fiction,1993-06-11,127.0,7.564772148932901
10909,Kalifornia,Thriller Crime,1993-09-01,117.0,6.488548276262126
9593,Last Action Hero,Adventure Fantasy Action Comedy Family,1993-06-18,130.0,6.167541597673135
10440,Manhattan Murder Mystery,Comedy Mystery,1993-08-18,104.0,6.795362656354786
9516,Menace II Society,Drama Action Crime,1993-05-26,97.0,6.8571513685567105
2320,Executive Decision,Action Adventure Drama Thriller,1996-03-15,133.0,6.055995995108609
11971,Much Ado About Nothing,Drama Comedy Romance,1993-05-07,111.0,6.871678852939899
788,Mrs. Doubtfire,Comedy Drama Family,1993-11-24,125.0,6.953155903192839
11231,The Next Karate Kid,Adventure,1994-07-18,107.0,5.539708049560012
9559,A Perfect World,Crime Drama Thriller,1993-11-24,138.0,6.983161033471501
9800,Philadelphia,Drama,1993-12-22,125.0,7.447136822680852
713,The Piano,Drama Romance,1993-05-19,121.0,6.877276253201611
1245,The Remains of the Day,Drama Romance,1993-11-05,134.0,7.059716659358512
7007,Rising Sun,Action Drama Thriller,1993-07-30,125.0,6.10969630442737
5550,RoboCop 3,Action Adventure Crime Science Fiction Thriller,1993-04-17,104.0,4.975638196035661
8005,Robin Hood: Men in Tights,Comedy,1993-07-28,104.0,6.416019474749286
14534,Rudy,Drama,1993-09-17,114.0,6.86505565977154
424,Schindler's List,Drama History War,1993-11-29,195.0,8.236417387715562
11236,The Secret Garden,Drama Family Fantasy,1993-08-13,102.0,6.844322229440624
858,Sleepless in Seattle,Comedy Drama Romance,1993-06-24,105.0,6.4946510303047145
78,Blade Runner,Science Fiction Drama Thriller,1982-06-25,117.0,7.842843554705916
11074,Striking Distance,Crime Action Mystery Thriller,1993-09-17,102.0,5.848496903239489
9607,Super Mario Bros.,Adventure Comedy Family Fantasy,1993-05-28,104.0,4.9994300857089
9479,The Nightmare Before Christmas,Fantasy Animation Family,1993-10-09,76.0,7.52147028929879
10057,The Three Musketeers,Action Adventure Comedy,1993-11-11,105.0,6.31549950907843
11969,Tombstone,Action Adventure Drama History Western,1993-12-25,130.0,7.212846355985764
319,True Romance,Action Thriller Crime Romance,1993-09-09,120.0,7.321881034642868
15139,The Pagemaster,Fantasy Science Fiction Family Animation,1994-11-23,80.0,6.3295098045583575
10897,The Little Rascals,Romance Comedy Family,1994-08-05,82.0,6.374262871499264
771,Home Alone,Comedy Family,1990-11-09,103.0,7.062136121624754
251,Ghost,Fantasy Drama Thriller Mystery Romance,1990-07-12,127.0,6.855726355574773
812,Aladdin,Animation Family Comedy Adventure Fantasy Romance,1992-11-25,90.0,7.359445776727968
280,Terminator 2: Judgment Day,Action Thriller Science Fiction,1991-07-01,137.0,7.655745221908147
581,Dances with Wolves,Adventure Drama Western,1990-11-09,181.0,7.455124046576145
268,Batman,Fantasy Action,1989-06-23,126.0,6.963459572208557
274,The Silence of the Lambs,Crime Drama Thriller,1991-02-01,119.0,8.044738652355218
408,Snow White and the Seven Dwarfs,Fantasy Animation Family,1937-12-20,83.0,6.868014211880321
10020,Beauty and the Beast,Romance Family Animation Fantasy Music,1991-11-13,84.0,7.448502450279311
10895,Pinocchio,Animation Family,1940-02-23,88.0,6.856599436349062
114,Pretty Woman,Romance Comedy,1990-03-23,119.0,6.957180637488929
576,The Wild Bunch,Adventure Western,1969-06-17,145.0,7.2393763238045175
7300,One Fine Day,Comedy Romance,1996-12-20,108.0,6.286794731064765
275,Fargo,Crime Drama Thriller,1996-04-05,98.0,7.612399247294967
10112,The Aristocats,Animation Comedy Family Adventure,1970-12-23,78.0,7.030735531403403
1592,Primal Fear,Crime Drama Mystery Thriller,1996-04-03,129.0,7.215639693956126
10684,Courage Under Fire,Drama Thriller Mystery War,1996-07-04,117.0,6.309435784851812
954,Mission: Impossible,Adventure Action Thriller,1996-05-22,110.0,6.6872309883471015
8840,DragonHeart,Fantasy,1996-05-31,103.0,6.416513764292741
10539,James and the Giant Peach,Adventure Animation Family,1996-04-12,79.0,6.281821147552757
2300,Space Jam,Animation Comedy Drama Family Fantasy,1996-11-15,88.0,6.4971734541409525
12233,Oliver & Company,Animation Comedy Family,1988-11-18,74.0,6.492056981091587
922,Dead Man,Drama Fantasy Western,1995-12-23,121.0,6.9913362907373875
11687,The Visitors,Fantasy Comedy Science Fiction,1993-01-27,107.0,6.930985352345235
9100,The Craft,Drama Fantasy Horror Thriller,1996-05-03,101.0,6.350683054636359
9802,The Rock,Action Adventure Thriller,1996-06-06,136.0,6.858246214162011
664,Twister,Action Adventure Drama,1996-05-10,113.0,6.153085536359435
9323,Ghost in the Shell,Action Animation Science Fiction,1995-11-18,83.0,7.5907044516180715
532,A Close Shave,Family Animation Comedy,1995-12-24,30.0,7.071212307939229
10547,The Arrival,Action Mystery Science Fiction Thriller,1996-05-31,115.0,6.266039760946457
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama Comedy War,1964-01-29,95.0,7.850351908051914
9879,Striptease,Drama Thriller Crime,1996-06-28,115.0,5.296687334974932
7095,Jack,Comedy Drama Science Fiction,1996-08-09,113.0,6.08354862788145
627,Trainspotting,Drama Crime,1996-02-23,93.0,7.726742945785546
602,Independence Day,Action Adventure Science Fiction,1996-06-25,145.0,6.689632030320757
9566,The Fan,Drama Mystery Thriller,1996-08-15,116.0,6.041917994311394
10545,The Hunchback of Notre Dame,Drama Animation Family,1996-06-21,91.0,6.761083691461046
9894,The Cable Guy,Comedy Drama Thriller,1996-06-10,96.0,5.862220594941972
11543,Kingpin,Comedy,1996-07-04,113.0,6.611211553776286
9268,Eraser,Action Drama Mystery Thriller,1996-06-21,115.0,5.7960369059477195
9327,The Nutty Professor,Fantasy Comedy Romance Science Fiction,1996-06-26,95.0,5.5958658083702675
11228,Daylight,Action Adventure Thriller,1996-12-06,115.0,5.997751034753623
10779,The Frighteners,Horror Comedy,1996-07-18,110.0,6.636778907400916
9294,Phenomenon,Drama Fantasy Romance Science Fiction,1996-07-05,123.0,6.289701462993287
1645,A Time to Kill,Crime Drama Thriller,1996-07-24,149.0,6.876501926599303
2925,The First Wives Club,Comedy,1996-09-20,102.0,6.487272029941941
3595,Ransom,Action Thriller,1996-11-08,117.0,6.418340052867173
12123,Chain Reaction,Action Drama Science Fiction Thriller,1996-08-02,107.0,5.716351028693403
10830,Matilda,Comedy Family Fantasy,1996-08-02,98.0,6.835146686255443
10061,Escape from L.A.,Action Adventure Science Fiction Thriller,1996-08-09,97.0,5.858362872348844
238,The Godfather,Drama Crime,1972-03-14,175.0,8.44757023187916
9303,Bound,Crime Drama Romance Thriller,1996-09-13,108.0,6.712050451627341
10723,Bulletproof,Action Adventure Comedy Thriller,1996-09-06,84.0,5.9301676356195205
10987,Halloween: The Curse of Michael Myers,Horror Thriller,1995-09-29,88.0,5.708030972794969
981,The Philadelphia Story,Comedy Romance,1940-12-05,112.0,7.148804252642485
872,Singin' in the Rain,Comedy Music Romance,1952-04-10,103.0,7.648373003242254
13320,Funny Face,Music Comedy Romance,1957-02-13,103.0,6.738429546399765
164,Breakfast at Tiffany's,Comedy Drama Romance,1961-10-05,110.0,7.454890751965157
426,Vertigo,Mystery Romance Thriller,1958-05-09,128.0,7.815260449274376
567,Rear Window,Drama Mystery Thriller,1954-08-01,112.0,8.036649505582924
3078,It Happened One Night,Comedy Romance,1934-02-22,105.0,7.2570526274057
213,North by Northwest,Mystery Thriller,1959-07-07,136.0,7.626329225810741
284,The Apartment,Comedy Drama Romance,1960-06-15,125.0,7.7045202339524685
239,Some Like It Hot,Comedy Romance,1959-03-18,122.0,7.754547049186658
4808,Charade,Comedy Mystery Romance Thriller,1963-12-05,113.0,7.315996700471086
289,Casablanca,Drama Romance,1942-11-26,102.0,7.759293658409818
963,The Maltese Falcon,Mystery Crime Thriller,1941-11-18,100.0,7.443318174690293
11113,My Fair Lady,Drama Family Music Romance,1964-10-21,170.0,7.1154977234946735
6620,Sabrina,Comedy Drama Romance,1954-09-28,113.0,7.066158364731361
804,Roman Holiday,Comedy Romance,1953-09-02,119.0,7.4794173926597045
630,The Wizard of Oz,Adventure Family Fantasy,1939-08-15,102.0,7.31983467492738
770,Gone with the Wind,Drama Romance War,1939-12-15,238.0,7.530107631117511
599,Sunset Boulevard,Drama,1950-08-10,110.0,7.801405936422401
15,Citizen Kane,Mystery Drama,1941-04-30,119.0,7.826050081154362
62,2001: A Space Odyssey,Science Fiction Mystery Adventure,1968-04-10,149.0,7.829451101681832
705,All About Eve,Drama,1950-11-09,138.0,7.536573650741413
223,Rebecca,Drama Mystery,1940-04-12,130.0,7.312202201463883
303,Notorious,Thriller Drama Romance,1946-08-15,102.0,7.379751116714306
4174,Spellbound,Drama Mystery Thriller,1945-12-28,111.0,6.894399736014492
381,To Catch a Thief,Crime Drama Mystery Romance Thriller,1955-08-03,106.0,6.881643385491774
10907,The Adventures of Robin Hood,Action Adventure Romance,1938-05-13,102.0,7.053861557396136
1939,Laura,Drama Mystery,1944-10-11,88.0,7.058781723545719
1712,Giant,Action Drama Western,1956-10-10,201.0,7.0008337809748475
220,East of Eden,Drama,1955-03-09,115.0,6.991561343469736
3085,His Girl Friday,Comedy Drama,1940-01-18,92.0,7.003849891059591
1585,It's a Wonderful Life,Drama Family Fantasy,1946-12-20,130.0,7.806630494014826
3083,Mr. Smith Goes to Washington,Comedy Drama,1939-10-19,129.0,7.336479787507962
900,Bringing Up Baby,Comedy Romance,1938-02-18,102.0,7.100759872411979
260,The 39 Steps,Action Thriller Mystery,1935-06-01,86.0,7.0068284189409145
10331,Night of the Living Dead,Horror,1968-10-01,96.0,7.281323986605493
488,The African Queen,Adventure War Romance,1951-12-03,105.0,7.021873249848788
261,Cat on a Hot Tin Roof,Drama Romance,1958-02-17,108.0,7.0505314449412335
9333,Last Man Standing,Action Crime Drama Thriller,1996-09-20,101.0,6.303485375746394
6878,Homeward Bound: The Incredible Journey,Adventure Comedy Drama Family,1993-02-03,84.0,6.54649289402308
173,"20,000 Leagues Under the Sea",Adventure Drama Science Fiction,1954-12-23,127.0,6.686794731064765
864,Cool Runnings,Comedy,1993-09-30,98.0,6.7220512148369025
11224,Cinderella,Family Fantasy Animation Romance,1950-03-04,74.0,6.772799121844127
9078,The Sword in the Stone,Animation Family,1963-12-25,79.0,6.83769343738879
8367,Robin Hood: Prince of Thieves,Adventure,1991-06-14,143.0,6.5815627292075884
433,Mary Poppins,Comedy Family Fantasy,1964-08-27,139.0,7.292356074031027
11360,Dumbo,Animation Family,1941-10-22,64.0,6.761767433338744
11114,Pete's Dragon,Fantasy Animation Comedy Family,1977-11-03,128.0,6.4326158280906505
12335,Bedknobs and Broomsticks,Adventure Fantasy Animation Comedy Family Music,1971-10-07,117.0,6.675653128430296
12092,Alice in Wonderland,Animation Adventure Family Fantasy,1951-07-03,75.0,6.950946018602635
10948,The Fox and the Hound,Adventure Animation Drama Family,1981-07-10,82.0,6.9193240554987785
15121,The Sound of Music,Drama Family Music Romance,1965-03-02,174.0,7.268360847194249
562,Die Hard,Action Thriller,1988-07-15,131.0,7.460570063371123
10163,The Lawnmower Man,Horror Thriller Science Fiction,1992-03-05,108.0,5.879816519387499
9591,That Thing You Do!,Comedy Drama,1996-10-04,108.0,6.666087984463396
11412,The Long Kiss Goodnight,Crime Action Mystery Thriller,1996-10-11,120.0,6.424377461574999
10586,The Ghost and the Darkness,Adventure,1996-10-11,109.0,6.429583703368655
454,Romeo + Juliet,Drama Romance,1996-10-31,120.0,6.676867377995354
10218,Swingers,Comedy Romance,1996-10-18,94.0,6.674154973351143
819,Sleepers,Crime Drama Thriller,1996-10-18,147.0,7.151264695096428
11238,Aladdin and the King of Thieves,Adventure Animation Family,1996-05-20,81.0,6.1913980335485075
252,Willy Wonka & the Chocolate Factory,Family Fantasy,1971-06-29,100.0,7.249669689595056
11561,Sleeper,Comedy Romance Science Fiction,1973-12-17,89.0,6.769875174701433
11302,Bananas,Comedy,1971-04-28,82.0,6.589218085445641
623,A Fish Called Wanda,Comedy Crime,1988-07-15,108.0,6.963823796115115
583,Life of Brian,Comedy,1979-08-17,94.0,7.558830441683975
475,Bonnie and Clyde,Crime Drama,1967-07-18,111.0,7.268702782979274
521,Dial M for Murder,Crime Mystery Thriller,1954-05-29,104.0,7.57349687259045
88,Dirty Dancing,Drama Music Romance,1987-08-21,100.0,7.034535802704588
500,Reservoir Dogs,Crime Thriller,1992-09-02,99.0,8.03463308564198
792,Platoon,Drama War Action,1986-12-18,120.0,7.382359823739774
8491,Weekend at Bernie's,Comedy,1989-07-05,97.0,6.428371840821024
402,Basic Instinct,Thriller Mystery,1992-03-20,127.0,6.495893405190208
10537,The Doors,Drama Music,1991-03-01,140.0,6.61859396391174
11386,The Crying Game,Romance Crime Drama Thriller,1992-09-02,112.0,6.69933621747272
9504,Glengarry Glen Ross,Crime Drama Mystery,1992-09-15,100.0,7.164845538654539
601,E.T. the Extra-Terrestrial,Science Fiction Adventure Family Fantasy,1982-04-03,115.0,7.262425209985998
2119,Days of Thunder,Adventure,1990-06-27,107.0,6.076829121273072
744,Top Gun,Action Romance War,1986-05-16,110.0,6.6808936254961635
221,Rebel Without a Cause,Drama,1955-10-27,111.0,7.247307855069911
702,A Streetcar Named Desire,Drama,1951-09-18,125.0,7.200386505411807
1630,The People vs. Larry Flynt,Drama,1996-10-12,129.0,6.674758546620443
2756,The Abyss,Adventure Action Thriller Science Fiction,1989-08-09,139.0,6.997937183239026
790,The Fog,Horror,1980-02-08,89.0,6.424632455942938
1103,Escape from New York,Science Fiction Action,1981-05-22,99.0,6.822470811296279
11298,The Howling,Drama Horror,1981-04-03,91.0,6.436228658279153
762,Monty Python and the Holy Grail,Adventure Comedy Fantasy,1975-03-13,91.0,7.6884197234178355
531,The Wrong Trousers,Animation Comedy Family,1993-12-17,30.0,7.176935009250528
11216,Cinema Paradiso,Drama Romance,1988-11-17,124.0,7.922106955674772
892,Delicatessen,Comedy Science Fiction Fantasy,1991-04-17,99.0,7.09119648737651
975,Paths of Glory,Drama War,1957-09-18,88.0,7.818999053711344
409,The English Patient,Drama Romance War,1996-11-14,162.0,6.882857182115055
10161,My Left Foot: The Story of Christy Brown,Drama,1989-07-21,103.0,7.053734548751969
1412,"Sex, Lies, and Videotape",Drama,1989-08-18,100.0,6.595903200979094
510,One Flew Over the Cuckoo's Nest,Drama,1975-11-18,133.0,8.207552772521584
11455,Up in Smoke,Comedy,1978-01-01,86.0,6.599651839170982
1891,The Empire Strikes Back,Adventure Action Science Fiction,1980-05-17,124.0,8.15514360408261
2493,The Princess Bride,Adventure Family Fantasy Comedy Romance,1987-09-18,98.0,7.492594942753708
85,Raiders of the Lost Ark,Adventure Action,1981-06-12,115.0,7.652244904828603
68,Brazil,Comedy Science Fiction,1985-02-20,132.0,7.4262047386120775
679,Aliens,Horror Action Thriller Science Fiction,1986-07-18,137.0,7.642990794288416
429,"The Good, the Bad and the Ugly",Western,1966-12-23,161.0,7.997184636088789
13446,Withnail & I,Comedy Drama,1987-01-01,107.0,6.9548778196418155
389,12 Angry Men,Drama,1957-03-25,96.0,8.079377429668437
947,Lawrence of Arabia,Adventure Drama History War,1962-12-10,216.0,7.593955644602644
185,A Clockwork Orange,Science Fiction Drama,1971-12-18,136.0,7.9320084392930745
595,To Kill a Mockingbird,Crime Drama,1962-12-25,129.0,7.62700276787168
28,Apocalypse Now,Drama War,1979-08-15,153.0,7.892506300149967
335,Once Upon a Time in the West,Western,1968-12-21,175.0,7.902859328742974
1892,Return of the Jedi,Adventure Action Science Fiction,1983-05-23,135.0,7.8536409331587915
144,Wings of Desire,Drama Fantasy Romance,1987-01-01,128.0,7.105226716203665
